user_role,hour_of_day,day_of_week,geo_dist_km,device_posture,resource_type,req_velocity,session_dur_s,baseline_dev,label
operator,8,5,1.6,compliant,historian,5.14,136.4,0.13,0
engineer,20,3,42.0,unknown,HMI,8.76,93.2,0.57,1
engineer,14,1,149.7,compliant,bulk_export,5.25,464.3,0.05,0
engineer,16,1,29.8,unknown,bulk_export,6.18,1129.3,0.88,1
operator,12,3,9.9,compliant,historian,1.85,386.5,0.11,0
auditor,12,5,2.0,compliant,bulk_export,4.79,484.3,0.08,0
auditor,9,4,47.9,compliant,config,3.47,152.3,0.41,0
engineer,11,2,92.3,compliant,historian,5.48,159.4,0.06,0
auditor,18,3,47.8,unknown,PLC,7.5,133.3,0.64,1
operator,8,1,16.7,compliant,PLC,0.89,162.4,0.04,0
operator,4,0,15.5,compliant,historian,5.79,262.4,0.25,0
operator,4,3,24.9,compliant,HMI,2.13,68.6,0.05,0
engineer,15,0,71.0,compliant,config,1.21,154.4,0.22,0
auditor,15,2,30.7,unknown,PLC,4.34,55.4,0.02,0
auditor,9,5,17.3,unknown,config,3.7,282.0,0.22,0
engineer,17,0,156.6,compliant,config,3.14,59.9,0.27,0
engineer,8,1,9.3,compliant,historian,3.99,100.7,0.15,0
auditor,12,4,91.5,unknown,bulk_export,11.03,819.7,1.0,1
operator,10,0,25.7,compliant,config,6.15,184.3,0.08,0
operator,10,2,20.8,compliant,historian,2.32,88.8,0.26,0
auditor,17,2,14.1,compliant,PLC,2.62,37.7,0.17,0
operator,13,0,15.2,compliant,PLC,5.72,42.6,0.39,0
engineer,13,4,54.9,compliant,PLC,4.7,42.4,0.06,0
engineer,5,1,62.5,compliant,PLC,2.31,68.2,0.32,1
operator,10,4,23.9,compliant,PLC,1.02,73.4,0.21,1
engineer,15,0,95.7,compliant,HMI,2.95,46.6,0.3,0
operator,16,5,19.0,compliant,historian,1.95,208.4,0.22,0
operator,7,0,9.5,compliant,HMI,5.73,55.4,0.03,0
auditor,12,0,43.3,unknown,bulk_export,13.48,1196.1,0.82,1
operator,15,3,488.3,compliant,HMI,1.98,37.0,0.49,1
auditor,13,3,54.5,compliant,historian,1.54,436.2,0.44,0
auditor,11,2,17.7,compliant,bulk_export,0.8,380.7,0.37,0
operator,6,1,33.9,compliant,PLC,1.04,65.0,0.19,0
auditor,15,6,19.8,compliant,HMI,0.55,93.7,0.3,0
auditor,12,6,33.8,compliant,bulk_export,1.31,593.3,0.27,0
engineer,18,1,30.1,compliant,HMI,4.77,42.7,0.75,1
auditor,12,4,31.0,compliant,config,2.18,272.8,0.43,0
engineer,18,2,15.7,compliant,config,7.61,248.3,0.81,1
auditor,15,3,54.2,unknown,HMI,0.5,50.3,0.03,0
operator,12,1,5.1,compliant,bulk_export,4.1,250.6,0.17,0
operator,12,1,19.7,unknown,HMI,3.57,128.9,0.17,0
engineer,15,1,27.2,compliant,PLC,1.7,47.8,0.04,0
auditor,11,1,430.4,unknown,config,5.99,101.3,0.4,1
auditor,17,3,32.3,compliant,PLC,1.5,106.7,0.21,0
engineer,9,3,102.2,compliant,HMI,1.38,60.0,0.12,0
operator,7,2,10.0,compliant,PLC,4.26,171.8,0.11,0
engineer,11,4,119.4,compliant,historian,3.5,108.4,0.3,0
auditor,16,0,12.3,compliant,HMI,5.61,35.4,0.01,0
engineer,9,1,77.0,compliant,PLC,2.86,149.7,0.23,0
engineer,9,2,15.4,unknown,PLC,4.84,40.2,0.13,0
auditor,16,2,51.4,compliant,bulk_export,6.04,415.5,0.14,0
engineer,12,2,73.2,unknown,bulk_export,12.0,1168.8,0.53,1
operator,10,4,5.7,compliant,PLC,2.82,81.8,0.15,0
operator,8,3,11.2,compliant,historian,3.73,281.4,0.02,0
engineer,14,4,129.6,unknown,PLC,3.65,117.6,0.33,0
auditor,16,0,46.1,unknown,bulk_export,3.97,400.6,0.33,0
auditor,9,3,44.2,compliant,bulk_export,3.62,358.3,0.27,0
auditor,10,0,4.3,compliant,historian,6.02,149.0,0.21,0
engineer,20,3,36.7,unknown,PLC,6.04,65.3,0.72,1
auditor,15,0,12.6,compliant,HMI,3.28,125.2,0.41,0
engineer,9,0,157.3,compliant,config,5.98,302.9,0.09,0
auditor,9,2,3.0,compliant,bulk_export,2.75,636.5,0.04,0
auditor,11,3,60.1,compliant,config,1.25,184.6,0.23,0
auditor,17,2,29.6,compliant,bulk_export,3.68,551.2,0.04,0
operator,9,0,27.3,compliant,HMI,4.25,86.7,0.05,1
operator,11,1,30.0,compliant,historian,2.21,324.7,0.36,0
auditor,13,3,19.2,compliant,bulk_export,2.35,710.0,0.35,0
auditor,16,3,397.2,unknown,PLC,1.76,91.2,0.37,1
auditor,6,4,61.7,unknown,historian,4.26,251.4,0.44,1
engineer,11,0,30.2,compliant,PLC,4.32,118.2,0.31,0
auditor,10,0,68.4,compliant,bulk_export,3.52,533.0,0.15,0
operator,20,3,34.8,compliant,PLC,2.14,147.6,0.22,0
engineer,8,5,51.0,compliant,config,3.33,118.3,0.13,0
operator,10,4,543.0,unknown,PLC,1.6,95.7,0.68,1
operator,14,3,29.7,compliant,PLC,1.2,84.6,0.16,0
operator,20,0,17.2,compliant,historian,4.07,299.3,0.55,1
engineer,17,3,103.1,compliant,historian,3.51,188.0,0.36,0
operator,18,1,44.3,compliant,HMI,5.23,84.0,0.08,1
operator,9,3,32.3,compliant,historian,4.7,66.8,0.06,0
operator,13,2,56.7,compliant,bulk_export,15.08,1287.1,0.77,1
engineer,11,1,92.8,compliant,historian,3.17,235.9,0.44,0
operator,18,1,2.6,unknown,historian,2.76,344.0,0.06,0
engineer,11,0,107.8,compliant,bulk_export,1.0,491.0,0.06,0
engineer,14,0,17.9,compliant,PLC,3.37,47.7,0.4,0
engineer,4,3,2.1,compliant,HMI,4.11,128.5,0.23,0
engineer,17,0,52.3,compliant,config,4.93,311.1,0.11,0
operator,15,3,22.1,compliant,PLC,3.27,114.6,0.21,0
operator,14,0,293.7,compliant,config,1.29,127.2,0.84,1
auditor,14,6,16.8,compliant,historian,3.65,288.9,0.31,0
operator,11,3,34.3,compliant,historian,1.18,228.9,0.29,0
auditor,14,4,14.7,compliant,bulk_export,0.48,383.0,0.35,1
auditor,16,1,232.1,compliant,config,3.2,291.9,0.85,1
engineer,15,3,18.7,compliant,historian,5.07,395.4,0.06,0
auditor,17,2,315.1,compliant,config,5.56,92.0,0.77,1
auditor,6,4,25.2,unknown,config,1.52,164.9,0.18,0
auditor,11,1,42.0,compliant,bulk_export,1.02,364.3,0.34,0
engineer,14,4,31.8,unknown,bulk_export,4.94,768.0,0.73,1
engineer,15,4,78.3,compliant,config,1.0,200.0,0.17,0
engineer,13,4,1.0,compliant,historian,1.84,192.9,0.01,0
auditor,15,5,64.4,compliant,bulk_export,4.13,338.3,0.41,0
engineer,8,4,154.6,compliant,HMI,2.02,73.2,0.04,0
engineer,9,2,47.2,compliant,config,3.04,88.8,0.33,0
engineer,11,4,40.3,compliant,HMI,3.76,103.7,0.02,0
operator,6,2,8.6,unknown,historian,3.06,360.8,0.14,0
auditor,20,5,49.0,compliant,config,3.58,130.3,0.59,1
engineer,11,1,26.9,compliant,PLC,1.03,60.7,0.28,0
engineer,13,1,145.3,compliant,historian,2.38,250.4,0.62,1
operator,22,1,35.7,unknown,historian,5.51,133.6,0.44,0
operator,18,2,42.9,compliant,historian,2.41,187.0,0.32,0
engineer,16,1,593.5,compliant,HMI,2.43,58.1,0.57,1
auditor,17,0,28.0,unknown,historian,2.06,164.3,0.19,0
operator,13,3,6.9,compliant,config,2.41,240.0,0.15,0
operator,13,1,0.3,compliant,historian,2.76,114.8,0.12,0
auditor,12,0,24.2,unknown,bulk_export,13.19,1130.8,0.54,0
operator,11,2,52.8,compliant,bulk_export,13.46,550.3,0.87,1
auditor,8,4,37.4,compliant,HMI,5.52,89.3,0.44,1
engineer,20,3,60.1,compliant,PLC,2.96,82.3,0.13,1
engineer,7,2,31.6,compliant,HMI,3.65,55.1,0.44,0
operator,18,4,42.0,unknown,bulk_export,6.27,477.2,0.72,1
operator,17,5,26.8,compliant,HMI,1.35,124.0,0.25,0
auditor,17,1,44.5,compliant,historian,0.88,203.7,0.04,0
operator,5,0,36.3,compliant,PLC,7.18,74.7,0.5,1
engineer,14,1,166.8,compliant,HMI,2.72,99.9,0.06,0
auditor,9,6,6.8,compliant,bulk_export,1.6,464.8,0.07,0
engineer,10,4,80.5,compliant,bulk_export,17.9,590.5,0.59,0
auditor,12,2,32.8,compliant,historian,6.18,201.7,0.22,0
auditor,14,2,57.6,compliant,bulk_export,3.77,233.8,0.39,0
auditor,15,0,37.7,unknown,bulk_export,9.25,675.5,0.93,1
engineer,11,4,14.5,compliant,PLC,3.72,37.9,0.08,0
auditor,15,1,30.9,compliant,config,4.58,219.2,0.01,0
engineer,10,1,106.3,compliant,bulk_export,3.0,509.1,0.17,0
operator,15,3,3.6,unknown,historian,4.68,141.7,0.07,0
operator,2,4,5.8,unknown,bulk_export,4.2,532.0,0.44,1
auditor,0,6,49.9,unknown,bulk_export,2.65,655.2,0.35,0
auditor,11,3,14.6,compliant,bulk_export,5.71,539.8,0.2,0
operator,8,2,30.0,compliant,PLC,4.74,37.9,0.34,0
operator,13,0,18.4,unknown,historian,1.71,428.4,0.03,0
auditor,11,0,19.0,compliant,historian,3.96,270.3,0.37,0
operator,16,0,3.3,unknown,PLC,0.78,36.2,0.17,0
operator,14,0,32.0,compliant,PLC,0.87,87.2,0.21,0
operator,3,6,13.7,compliant,HMI,1.65,107.2,0.25,0
auditor,10,4,93.1,unknown,bulk_export,9.25,512.4,0.84,0
operator,14,0,25.5,compliant,PLC,1.58,81.4,0.28,0
engineer,8,1,10.5,compliant,config,3.94,148.5,0.15,0
auditor,5,0,48.7,compliant,bulk_export,2.82,412.9,0.31,1
auditor,9,0,55.2,unknown,historian,2.86,329.3,0.25,0
engineer,20,5,10.7,unknown,config,9.01,140.8,0.61,1
engineer,15,3,69.9,unknown,historian,5.0,220.1,0.33,0
engineer,9,3,12.2,unknown,historian,2.19,88.0,0.37,1
engineer,8,0,34.6,unknown,HMI,3.19,68.2,0.1,0
operator,16,0,24.5,compliant,historian,2.24,233.9,0.29,0
engineer,11,1,1.1,compliant,bulk_export,15.62,869.1,0.78,1
auditor,11,1,38.3,compliant,historian,2.54,322.2,0.44,0
auditor,16,2,456.8,compliant,HMI,2.3,114.1,0.54,1
auditor,14,3,50.1,compliant,config,3.18,174.0,0.36,0
auditor,11,4,44.8,compliant,bulk_export,4.22,590.2,0.36,0
operator,23,0,13.0,compliant,config,3.47,206.1,0.05,1
auditor,16,0,40.6,compliant,historian,4.58,196.7,0.24,0
engineer,13,0,89.9,unknown,bulk_export,11.32,537.8,0.97,1
auditor,9,3,0.6,compliant,PLC,1.63,142.8,0.42,1
engineer,9,2,74.0,unknown,bulk_export,13.38,913.3,0.62,1
operator,11,3,60.3,unknown,bulk_export,19.59,1131.4,0.82,1
auditor,12,4,25.6,compliant,bulk_export,2.92,240.5,0.04,0
engineer,10,0,129.1,compliant,historian,1.03,250.1,0.45,0
auditor,17,2,187.0,compliant,HMI,5.54,86.4,0.61,1
engineer,15,3,84.9,compliant,PLC,3.31,111.3,0.27,0
engineer,15,2,98.7,compliant,PLC,2.66,134.1,0.32,1
operator,7,0,29.4,compliant,HMI,5.14,72.9,0.25,0
operator,11,4,17.7,compliant,PLC,1.51,173.1,0.06,0
operator,19,5,15.3,unknown,historian,7.69,339.2,0.84,1
auditor,16,2,1.0,compliant,PLC,3.99,107.7,0.45,0
